JCAT,Name,TDate,Program,Category,Result
S20448,MUSES-A,1993 Apr 10,MUSES,PLAN,S
S20452,[USA 50],2000 Dec,GPS II,NAV,S
S20457,Cosmos-2057,1990 Mar 19 0242?,Kobal't,IMG,S
S20465,Cosmos-2058,1992?,Tselina-R,SIG,S
S20467,Kosmos-2053 SS 4,1990 Jan 30,ESO,CAL,S
S20468,Kosmos-2053 SS 5,1990 Jan 30,ESO,CAL,S
S20473,,1998 Jul,DFH-2,COM,S
S20476,Cosmos-2059,1990 Nov 12?,Duga-K,CAL,S
S20478,MOS-1b,1996 May,NASDA RS,IMG,S
S20479,DEBUT,1990 Feb 17,NASDA Tech,TECH,S
S20480,JAS-1b,2008 Apr,JAS,COM,S
S20481,Kosmos-2059 SS 1,1990 Feb  6,ESO,CAL,S
S20482,Kosmos-2059 SS 2,1990 Feb  6,ESO,CAL,S
S20483,Kosmos-2059 SS 3,1990 Feb  6,ESO,CAL,S
S20484,Kosmos-2059 SS 4,1990 Feb  6,ESO,CAL,S
S20485,Kosmos-2059 SS 5,1990 Feb  6,ESO,CAL,S
S20486,Kosmos-2059 SS 6,1990 Feb  6,ESO,CAL,S
S20487,Kosmos-2059 SS 7,1990 Feb  6,ESO,CAL,S
S20490,Kosmos-2059 SS 8,1990 Feb  6,ESO,CAL,S
S20492,Kosmos-2059 SS 9,1990 Feb  6,ESO,CAL,S
S20493,Kosmos-2059 SS 10,1990 Feb  6,ESO,CAL,S
S20494,Soyuz TM-9,1990 Aug  9 0733,7K-STM,SS,S
S20496,LACE,1993 Feb 14,SDIO Delta,TECH,S
S20497,RME,1991 Apr,SDIO Delta,TECH,S
S20499,Raduga,1997 Dec,Raduga,COM,S
S20508,Nadezhda,1996 Feb,Nadezhda,NAV,S
S20510,Okean,1991 Jul 18,Okean-O1,IMG/IMG-R,S
S20512,[STS-36],1990 Mar  4 1808,OV-104,SS,S
S20513,Progress M-3,1990 Apr 28,Progress M,SS,S
S20515,Kosmos-2053 SS 6,1990 Mar 14,ESO,CAL,S
S20516,[USA 53],1995?,AFP-731,IMG,S
S20522,Kosmos-2053 SS 7,1990 Mar 14,ESO,CAL,S
S20523,[Intelsat 603],2015 Jan 23,Int6,COM,S
S20525,Cosmos-2060,1991 Aug 22,US-PM,SIG,S
S20527,Cosmos-2061,1991 Aug 22?,Parus,NAV,S
S20529,Cosmos-2062,1990 Apr  5 0443?,Oblik,IMG,S
S20531,Kosmos-2053 SS 8,1990 Mar 22,ESO,CAL,S
S20532,Kosmos-2053 SS 9,1990 Mar 22,ESO,CAL,S
S20533,[USA 54],1996 Dec 12,GPS II,NAV,S
S20536,Cosmos-2063,1993?,Oko E,EW,S
S20540,,1990 Jul  9,Ofeq,TECH,S
S20546,[Pegsat],1991 Jan?,NASA Small,SCI,S
S20547,[USA 55],1993 Oct  5,DARPA Light,COM,S
S20549,Cosmos-2064,1992?,Strela-1M,COM,S
S20550,Cosmos-2065,1992?,Strela-1M,COM,S
S20551,Cosmos-2066,1992?,Strela-1M,COM,S
S20552,Cosmos-2067,1992?,Strela-1M,COM,S
S20553,Cosmos-2068,1992?,Strela-1M,COM,S
S20554,Cosmos-2069,1992?,Strela-1M,COM,S
S20555,Cosmos-2070,1992?,Strela-1M,COM,S
S20556,Cosmos-2071,1992?,Strela-1M,COM,S
S20558,AsiaSat-1,2003 Feb 27,Asiasat,COM,S
S20560,USA 56,1995 Apr 11,STP1,SCI,S
S20561,USA 57,1995 Apr 11,STP1,TECH,S
S20562,USA 58,2000 Apr  3,DARPA Light,TECH,S
S20566,Photon,1990 Apr 27 0746?,Foton,MGRAV,S
S20564,PDD Test Mass,1990 Apr 11,STP1,TECH,S
S20565,PDD Test Mass,1990 Apr 11,STP1,TECH,S
S20568,Cosmos-2072,1990 Nov 21,Neman,IMG,S
S20570,Palapa B2R,2005 Jun 18,Palapa B,COM,S
S20573,Cosmos-2073,1990 Apr 28 0550?,Oblik,IMG,S
S20577,Cosmos-2074,1992 Apr 15?,Parus,NAV,S
S20579,[STS 31],1990 Apr 29 1349,OV-103,SS,S
S20580,[HST],,Great Obs,AST,S
S20581,Cosmos-2075,1992 Feb 20?,Taifun-2A,CAL,S
S20583,Molniya-1,1995 May?,Molniya-1T,COM,S
S20596,Cosmos-2076,1992 Sep 28,Oko E,EW,S
S20602,Progress-42,1990 May 27,Progress,SS,S
S20604,Cosmos-2077,1990 Jul  4 1824?,Kobal't,IMG,S
S20607,[Macsat 1],1994 May  9,DARPA Light,COM,S
S20608,[Macsat 2],1993 Sep 15,DARPA Light,COM,S
S20615,Cosmos-2078,1990 Jun 28 2234?,Kometa,IMG,S
S20618,Hagoromo,1990 Mar 18,MUSES,PLAN,S
S20619,Cosmos-2079,1994 Aug 17,Uragan,NAV,S
S20620,Cosmos-2080,1994 Aug 27,Uragan,NAV,S
S20621,Cosmos-2081,1993 Jan 20,Uragan,NAV,S
S20624,Cosmos-2082,1995?,Tselina-2,SIG,S
S20632,Resurs-F,1990 Jun 14 0338?,Resurs-F1 C,IMG,S
S20635,Kristall,2001 Mar 23,TsM,SS,S
S20637,Kosmos-2053 SS 10,1990 May 31,ESO,CAL,S
S20638,ROSAT,1999 Jan,DLR Astro,AST,S
S20640,Kosmos-2053 SS 11,1990 May 31,ESO,CAL,S
S20641,[USA 59],2000?,SLDCOM,SIG,S
S20643,Insat-1D,2002 May?,Insat 1,COM/MET,S
S20646,Molniya-3,1995 Jul 17,Molniya-3,COM,S
S20657,Cosmos-2083,1990 Jul  3 0525?,Oblik,IMG,S
S20659,Gorizont,1999 Feb?,Gorizont,COM,S
S20663,Cosmos-2084,1990 Jul 18,Oko E,EW,F
S20667,[Intelsat 6 F-4],2006 Apr  6,Int6,COM,S
S20670,Meteor-2,1995?,Meteor-2,MET,S
S20682,[USA 60],2000?,NOSS2,SIG,S
S20683,Gamma,1992 Feb 28,Gamma,AST,F
S20685,BADR-1,1990 Aug 20,BADR,COM,S
S20687,Resurs-F,1990 Aug 16 0346?,Resurs-F2,IMG,S
S20691,[USA 61],2000?,NOSS2,SIG,S
S20692,[USA 62],2000?,NOSS2,SIG,S
S20693,Cosmos-2085,1995 Jan?,Geizer,COM,S
S20702,Cosmos-2086,1990 Aug  3 0600?,Oblik,IMG,S
S20705,TDF 2,1999 May 26,TDF,COM,S
S20706,DFS 2,2001 Aug 17,DFS,COM,S
S20707,Cosmos-2087,1992 Jan 28,Oko E,EW,S
S20712,[CRRES],1991 Oct 12,STP1,SCI,S
S20720,Cosmos-2088,1993 Mar,Musson,GEOD,S
S20722,Soyuz TM-10,1990 Dec 10 0608,7K-STM,SS,S
S20724,[USA 63],2003 May 28,GPS II,NAV,S
S20732,Cosmos-2089,1990 Oct  1 1934?,Kobal't,IMG,S
S20735,Cosmos-2090,1993?,Strela-3,COM,S
S20736,Cosmos-2091,1993?,Strela-3,COM,S
S20737,Cosmos-2092,1993?,Strela-3,COM,S
S20738,Cosmos-2093,1993?,Strela-3,COM,S
S20739,Cosmos-2094,1993?,Strela-3,COM,S
S20740,Cosmos-2095,1993?,Strela-3,COM,S
S20742,Molniya-1,1995 Sep?,Molniya-1T,COM,S
S20746,Kosmos-2075 SS 1,1990 Aug 13,ESO,CAL,S
S20747,Kosmos-2075 SS 2,1990 Aug 13,ESO,CAL,S
S20748,Kosmos-2075 SS 3,1990 Aug 13,ESO,CAL,S
S20749,Kosmos-2075 SS 4,1990 Aug 13,ESO,CAL,S
S20750,Kosmos-2075 SS 5,1990 Aug 13,ESO,CAL,S
S20751,Kosmos-2075 SS 6,1990 Aug 13,ESO,CAL,S
S20752,Progress M-4,1990 Sep 20,Progress M,SS,S
S20754,Resurs-F,1990 Sep  1 0616?,Resurs-F1 C,IMG,S
S20762,Marcopolo-2,2003 Jan  6,BSB,COM,S
S20765,Cosmos-2096,1992 Jul 31,US-PM,SIG,S
S20767,Cosmos-2097,1994?,Oko E,EW,S
S20771,BS-3a,1998 Apr 20,BS,COM,S
S20774,Cosmos-2098,1992?,Vektor4,CAL,S
S20776,Skynet 4C,,Skynet,COM,S
S20777,Eutelsat-II-F1,2004 Jan,Eutelsat II,COM,S
S20779,Cosmos-2099,1990 Sep 14 0514?,Oblik,IMG,S
S20788,Fengyun-1,1994?,FY-1,MET,S
S20789,,1990 Sep  3,SJ,SCI,S
S20790,,1990 Sep  3,SJ,SCI,S
S20794,Resurs-F,1990 Sep 21 0738?,Resurs-F1 C,IMG,S
S20802,Kosmos-2053 SS 12,1990 Sep 14,ESO,CAL,S
S20803,Kosmos-2053 SS 13,1990 Sep 14,ESO,CAL,S
S20804,Cosmos-2100,1992?,Parus,NAV,S
S20813,Molniya-3,1997 Jan?,Molniya-3,COM,S
S20821,Kosmos-2053 SS 14,1990 Sep 25,ESO,CAL,S
S20822,Kosmos-2053 SS 15,1990 Sep 25,ESO,CAL,S
S20823,Kosmos-2053 SS 16,1990 Sep 25,ESO,CAL,S
S20824,Progress-M5,1990 Nov 28,Progress M,SS,S
S20826,Meteor-2,1995?,Meteor-2,MET,S
S20828,Cosmos-2101,1990 Nov 30,Don,IMG,S
S20830,[USA 64],2007 Mar 14,GPS II,NAV,S
S20838,Recoverable sat.,1990 Oct 13,FSW1,IMG,S
S20841,[STS 41],1990 Oct 10 1357,OV-103,SS,S
S20842,Ulysses,2008 Jul  1,ESA Plan,PLAN,S
S20872,[SBS 6],2009 Feb 19,SBS,COM,S
S20873,[Galaxy 6],2003 Jan 15,Westar B,COM,S
S20909,Cosmos-2102,1990 Dec 12 1928?,Kobal't,IMG,S
S20911,Kosmos-2053 SS 17,1990 Oct 17,ESO,CAL,S
S20918,[I2-F1],2013 Apr 20,Inmarsat 2,COM,S
S20923,Gorizont,2000 Mar?,Gorizont,COM,S
S20929,[USA 65],2005?,DSP-14,EW,S
S20933,Cosmos-2103,1991 Jan 12,US-PM,SIG,S
S20935,[STS 38],1990 Nov 20 2142,OV-104,SS,S
S20936,Cosmos-2104,1990 Dec  4 0549?,Oblik,IMG,S
S20941,Cosmos-2105,1993 Apr  4,Oko C,EW,S
S20945,[Satcom C1],2005 Apr 21,Satcom C,COM,S
S20946,[GSTAR 4],2004 Feb  2,Gstar,COM,S
S20949,Molniya-1,2001 Jan,Molniya-1T,COM,S
S20953,Gorizont,2000 Sep 22,Gorizont,COM,S
S20959,[USA 66],2016 Feb,GPS IIA,NAV,S
S20963,[USA 67],2005?,SDS-B,COM,S
S20966,Cosmos-2106,1994?,Koltso,CAL,S
S20975,Kosmos-2106 SS 1,1990 Nov 28,ESO,CAL,S
S20976,Kosmos-2106 SS 2,1990 Nov 28,ESO,CAL,S
S20977,Kosmos-2106 SS 3,1990 Nov 28,ESO,CAL,S
S20978,[USA 68],1997 Nov 14,DMSP 5D-2,MET,S
S20980,[STS 35],1990 Dec 11 0554,OV-102,SS,S
S20981,Soyuz TM-11,1991 May 26 1004,7K-STM,SS,S
S20985,Cosmos-2107,1992 Mar 11,US-PM,SIG,S
S21000,Cosmos-2108,1991 Jan 28 1926?,Kobal't,IMG,S
S21006,Cosmos-2109,1994 Jun 10,Uragan,NAV,S
S21007,Cosmos-2110,1994 Jan 20,Uragan,NAV,S
S21008,Cosmos-2111,1996 Aug 15,Uragan,NAV,S
S21014,Cosmos-2112,1993?,Strela-2M,COM,S
S21016,Raduga,1993 Oct,Raduga,COM,S
S21020,Kosmos-2053 SS 18,1990 Dec 20,ESO,CAL,S
S21022,Kosmos-2053 SS 19,1990 Dec 20,ESO,CAL,S
S21023,Kosmos-2053 SS 20,1990 Dec 20,ESO,CAL,S
S21026,Cosmos-2113,1991 Jun 11,Neman,IMG,S
S21028,Cosmos-2114,1993?,Strela-3,COM,S
S21029,Cosmos-2115,1993?,Strela-3,COM,S
S21030,Cosmos-2116,1993?,Strela-3,COM,S
S21031,Cosmos-2117,1993?,Strela-3,COM,S
S21032,Cosmos-2118,1993?,Strela-3,COM,S
S21033,Cosmos-2119,1993?,Strela-3,COM,S
S21035,Cosmos-2120,1991 Jan 17 0716?,Oblik,IMG,S
S21038,Raduga-1,1996 Jun,Globus,COM,S
S21042,Kosmos-2053 SS 21,1990 Dec 28,ESO,CAL,S
S21043,Kosmos-2053 SS 22,1990 Dec 28,ESO,CAL,S
S21047,[NATO 4A],2007 Aug 23,NATO,COM,S
S21053,Progress M-6,1991 Mar 15,Progress M,SS,S
S21055,ITALSAT,2001 Jan,Italsat,COM,S
S21056,EUTELSAT-II-F2,2005 Dec 26?,Eutelsat II,COM,S
S21059,Cosmos-2121,1991 Feb 10 0513?,Oblik,IMG,S
S21064,Kosmos-2053 SS 23,1991 Jan 18,ESO,CAL,S
S21065,Cosmos-2122,1993 Mar  4,US-PU,SIG,S
S21069,Kosmos-2106 SS 5,1990 Nov 28,ESO,CAL,S
S21070,Kosmos-2106 SS 4,1990 Nov 28,ESO,CAL,S
S21081,Kosmos-2106 SS 6,1990 Nov 28,ESO,CAL,S
S21087,Informator-1,1996?,Tsikada,COM,S
S21089,Cosmos-2123,2002 Aug 20,Tsikada,NAV/COM,S
S21092,Cosmos-2124,1991 Apr  7 1747?,Kobal't,IMG,S
S21100,Cosmos-2125,1993?,Strela-1M,COM,S
S21101,Cosmos-2126,1993?,Strela-1M,COM,S
S21102,Cosmos-2127,1993?,Strela-1M,COM,S
S21103,Cosmos-2128,1993?,Strela-1M,COM,S
S21104,Cosmos-2129,1993?,Strela-1M,COM,S
S21105,Cosmos-2130,1993?,Strela-1M,COM,S
S21106,Cosmos-2131,1993?,Strela-1M,COM,S
S21107,Cosmos-2132,1993?,Strela-1M,COM,S
S21111,Cosmos-2133,1995 May,Oko-1,EW,S
S21116,Cosmos-2134,1991 Apr  1 1948?,Kometa,IMG,S
S21118,Molniya-1,2003 May,Molniya-1T,COM,S
S21130,Cosmos-2135,1992 Jul  1?,Parus,NAV,S
S21132,Raduga,1998 May,Raduga,COM,S
S21139,ASTRA 1B,2006 Jul  5,Astra,COM,S
S21140,Meteosat 5,2007 Apr 19,Meteosat,MET,S
S21143,Cosmos-2136,1991 Mar 20 0622?,Oblik,IMG,S
S21147,[USA 69],2011 Mar 26,LACROSSE,IMG-R,S
S21149,I2-F2,2014 Dec 14,Inmarsat 2,COM,S
S21152,Nadezhda,2001 Sep,Nadezhda,NAV,S
S21188,Progress M-7,1991 May  7,Progress M,SS,S
S21190,Cosmos-2137,1991 Mar 19,Yug,CAL,S
S21196,Molniya-3,1996 Feb,Molniya-3,COM,S
S21203,Cosmos-2138,1991 May 24 1820?,Kobal't,IMG,S
S21205,Kosmos-2053 SS 24,1991 Mar 28,ESO,CAL,S
S21206,Kosmos-2053 SS 25,1991 Mar 28,ESO,CAL,S
S21207,Kosmos-2053 SS 26,1991 Mar 28,ESO,CAL,S
S21213,Almaz-1,1992 Oct 17,Mech,IMG-R,S
S21216,Cosmos-2139,1994 Nov 14,Uragan,NAV,S
S21217,Cosmos-2140,1993 Jun  4,Uragan,NAV,S
S21218,Cosmos-2141,1992 Jun 16,Uragan,NAV,S
S21222,Anik E-B,2005 Nov 25,Anik E,COM,S
S21224,[STS-37],1991 Apr 11 1355,OV-104,SS,S
S21225,[GRO],2000 Jun  4,Great Obs,AST,S
S21227,[ASC-2],2006 Apr  6,ASC,COM,S
S21230,Cosmos-2142,1993?,Parus,NAV,S
S21232,Meteor-3,1996?,Meteor-3,MET,S
S21242,[STS-39],1991 May  6 1855,OV-103,SS,S
S21244,[IBSS],1991 May  4,SPAS,EW/TECH,S
S21245,,1991 May 14,SDIO SS,TECH,S
S21246,,1991 May 12,SDIO SS,TECH,S
S21247,,1991 May 12,SDIO SS,TECH,S
S21258,Kosmos-2106 SS 7,1990 Nov 28,ESO,CAL,S
S21259,Kosmos-2106 SS 8,1990 Nov 28,ESO,CAL,S
S21260,Kosmos-2106 SS 9,1990 Nov 28,ESO,CAL,S
S21261,Kosmos-2106 SS 10,1990 Nov 28,ESO,CAL,S
S21262,[USA 70],1991 Jul?,NRO Sig Tech,COM?,S
S21263,[NOAA 12],2007 Aug 12,Tiros N,MET,S
S21264,Kosmos-2106 SS 11,1990 Nov 28,ESO,CAL,S
S21265,Kosmos-2106 SS 12,1990 Nov 28,ESO,CAL,S
S21266,Kosmos-2106 SS 13,1990 Nov 28,ESO,CAL,S
S21299,Cosmos-2143,1994?,Strela-3,COM,S
S21300,Cosmos-2144,1994?,Strela-3,COM,S
S21301,Cosmos-2145,1994?,Strela-3,COM,S
S21302,Cosmos-2146,1994?,Strela-3,COM,S
S21303,Cosmos-2147,1994?,Strela-3,COM,S
S21304,Cosmos-2148,1994?,Strela-3,COM,S
S21306,Kosmos-2106 SS 14,1990 Nov 28,ESO,CAL,S
S21307,Kosmos-2106 SS 15,1990 Nov 28,ESO,CAL,S
S21308,Kosmos-2106 SS 16,1990 Nov 28,ESO,CAL,S
S21309,Kosmos-2106 SS 17,1990 Nov 28,ESO,CAL,S
S21311,Soyuz TM-12,1991 Oct 10 0412,7K-STM,SS,S
S21313,Resurs-F,1991 Jun 20 0356?,Resurs-F2,IMG,S
S21315,Cosmos-2149,1991 Jul  4 0133?,Kobal't,IMG,S
S21392,[Aurora 2],2001 Mar 8,Satcom C,COM,S
S21395,Progress M-8,1991 Aug 16,Progress M,SS,S
S21397,Okean,1994 Jan  4,Okean-O1,IMG/IMG-R,S
S21399,[STS-40],1991 Jun 14 1539,OV-102,SS,S
S21418,Cosmos-2150,1993?,Strela-2M,COM,S
S21422,Cosmos-2151,1993?,Tselina-R,SIG,S
S21425,Mak-1,1991 Jun 17,DOS SS,SCI,F
S21426,Molniya-1,1994 May?,Molniya-1T,COM,S
S21524,Resurs-F,1991 Jul 21 0409?,Resurs-F1 C,IMG,S
S21527,[REX],1992 Dec 29,STP1,SCI,S
S21533,Gorizont,1992 Jun 24,Gorizont,COM,S
S21537,Kosmos-2053 SS 27,1991 Jul  3,ESO,CAL,S
S21540,Kosmos-2053 SS 28,1991 Jul  3,ESO,CAL,S
S21552,[Navstar 2A-02],2011 Nov  4,GPS IIA,NAV,S
S21553,[Losat-X],1991 Jul 13,SDIO SS,EW/TECH,S
S21558,Cosmos-2152,1991 Jul 23 0653?,Oblik,IMG,S
S21560,Cosmos-2153,1992 Mar 13,Neman,IMG,S
S21574,ERS-1,2000 Mar 10,ESA ERS,SCI/IMG-R,S
S21575,UoSat-5,2004 Oct,Uosat,COM,S
S21576,[Orbcomm-X],1991 Jul 17,Orbcomm-X,COM,S
S21577,TUBSAT-A,2007 Q1,Tubsat,COM,S
S21578,SARA,1993?,SARA,AST,S
S21580,[Microsat 1],1992 Jan 23,DARPA Light,COM,N
S21581,[Microsat 2],1992 Jan 23,DARPA Light,COM,N
S21582,[Microsat 3],1992 Jan 24,DARPA Light,COM,N
S21583,[Microsat 4],1992 Jan 23,DARPA Light,COM,N
S21584,[Microsat 5],1992 Jan 23,DARPA Light,COM,N
S21585,[Microsat 6],1992 Jan 25,DARPA Light,COM,N
S21586,[Microsat 7],1992 Jan 23,DARPA Light,COM,N
S21611,Resurs-F,1991 Aug  8 0526?,Resurs-F1 C,IMG,S
S21630,Molniya-1,1994 Dec?,Molniya-1T,COM,S
S21638,[STS 43],1991 Aug 11 1224,OV-104,SS,S
S21639,[TDRS F5],,TDRS,COM,S
S21653,[Intelsat 6 F-5],2009 Jan 23,Int6,COM,S
S21655,Meteor-3,1993 Dec  9,Meteor-3,MET,S
S21661,Naduvaniy gazovoy ballon,1991 Aug 16,PSUP,SCI,F
S21662,Progress M-9,1991 Sep 30,Progress M,SS,S
S21664,Resurs-F,1991 Sep 20 0550?,Resurs-F2,IMG,S
S21666,Cosmos-2154,1999 Aug?,Parus,NAV,S
S21668,"BS-3b ""Yuri-3b""",1999 Apr  5,BS,COM,S
S21688,IRS-1B,,IRS,IMG,S
S21694,SOLAR-A,2001 Dec 14,SOLAR,AST,S
S21700,[STS-48],1991 Sep 18 0738,OV-103,SS,S
S21701,[UARS],2005 Dec 14,UARS,SCI,S
S21702,Cosmos-2155,1992 Jun,Oko-S,EW,S
S21706,Molniya-3,1996,Molniya-3,COM,S
S21713,Cosmos-2156,1991 Nov 17 2048?,Kobal't,IMG,S
S21726,ANIK E-A,2005 Jan 18,Anik E,COM,S
S21728,Cosmos-2157,1994?,Strela-3,COM,S
S21729,Cosmos-2158,1994?,Strela-3,COM,S
S21730,Cosmos-2159,1994?,Strela-3,COM,S
S21731,Cosmos-2160,1994?,Strela-3,COM,S
S21732,Cosmos-2161,1994?,Strela-3,COM,S
S21733,Cosmos-2162,1994?,Strela-3,COM,S
S21735,Soyuz TM-13,1992 Mar 25 0851,7K-STM,SS,S
S21737,Photon-4,1991 Oct 20 0809?,Foton,MGRAV,S
S21741,Cosmos-2163,1991 Dec  7,Don,IMG,S
S21743,Cosmos-2164,1991 Oct 10,Yug,CAL,S
S21746,Progress M-10,1992 Jan 20,Progress M,SS,S
S21759,Gorizont,1998 Jun,Gorizont,COM,S
S21765,[Intelsat 6 F-1],2011 Nov  4,Int6,COM,S
S21767,Kosmos-2053 SS 29,1991 Nov  1,ESO,CAL,S
S21768,Kosmos-2053 SS 30,1991 Nov  1,ESO,CAL,S
S21769,Kosmos-2053 SS 31,1991 Nov  1,ESO,CAL,S
S21770,Kosmos-2053 SS 32,1991 Nov  1,ESO,CAL,S
S21771,Kosmos-2053 SS 33,1991 Nov  1,ESO,CAL,S
S21772,Kosmos-2053 SS 34,1991 Nov  1,ESO,CAL,S
S21773,Kosmos-2053 SS 35,1991 Nov  1,ESO,CAL,S
S21774,Kosmos-2053 SS 36,1991 Nov  1,ESO,CAL,S
S21775,[USA 72],2001?,SLDCOM,SIG,S
S21779,Cosmos-2165,1994?,Strela-3,COM,S
S21780,Cosmos-2166,1994?,Strela-3,COM,S
S21781,Cosmos-2167,1994?,Strela-3,COM,S
S21782,Cosmos-2168,1994?,Strela-3,COM,S
S21783,Cosmos-2169,1994?,Strela-3,COM,S
S21784,Cosmos-2170,1994?,Strela-3,COM,S
S21787,Cosmos-2171,1992 Jan 17 1911?,Kobal't,IMG,S
S21789,Cosmos-2172,1995 Nov?,Geizer,COM,S
S21795,[STS 44],1991 Dec  1 2236,OV-104,SS,S
S21796,Cosmos-2173,1993?,Parus,NAV,S
S21798,[USA 73],2000 Aug?,DMSP 5D-2,MET,S
S21799,[USA 74],2007?,NOSS2,SIG,S
S21803,EUTELSAT-II-F3,2003 Dec,Eutelsat II,COM,S
S21805,[USA 75],2016 Nov?,DSP-14,EW,S
S21808,USA 76,2007?,NOSS2,SIG,S
S21809,USA 77,2007?,NOSS2,SIG,S
S21813,TELECOM 2A,2005 Nov  1,Telecom 2,COM,S
S21814,[Inmarsat 2 F3],2006 Jul,Inmarsat 2,COM,S
S21816,Cosmos-2174,1992 Jan 30 2134?,Kometa,IMG,S
S21819,Intercosmos-25,1996?,AUOS,SCI,S
S21821,Raduga,2001 Feb?,Raduga,COM,S
S21833,01,1992 Sep,DFH-2,COM,S
S21835,Magion 3,1992 Sep  9,Magion,SCI,S
S21844,Cosmos-2175,1992 Mar 20 1958?,Kobal't,IMG,S
S21846,[STS 42],1992 Jan 30 1608,OV-103,SS,S
S21847,Cosmos-2176,1995?,Oko E,EW,S
S21851,Progress M-11,1992 Mar 13,Progress M,SS,S
S21853,Cosmos-2177,1993 Jun 29,Uragan,NAV,S
S21854,Cosmos-2178,1997 Jun 24,Uragan,NAV,S
S21855,Cosmos-2179,1996 Dec 21,Uragan,NAV,S
S21864,Kosmos-2075 SS 7,1992 Feb  1,ESO,CAL,S
S21865,Kosmos-2075 SS 8,1992 Feb  1,ESO,CAL,S
S21866,Kosmos-2075 SS 9,1992 Feb  1,ESO,CAL,S
S21867,JERS-1,1998 Oct 11,NASDA RS,IMG-R,S
S21869,Kosmos-2075 SS 10,1992 Feb  6,ESO,CAL,S
S21870,Kosmos-2075 SS 11,1992 Feb 10,ESO,CAL,S
S21871,Kosmos-2075 SS 12,1992 Feb 10,ESO,CAL,S
S21872,Kosmos-2075 SS 13,1992 Feb 10,ESO,CAL,S
S21873,[USA 78],2004?,DSCS 3,COM,S
S21875,Cosmos-2180,1994?,Parus,NAV,S
S21890,[USA 79],2009 Dec 18,GPS IIA,NAV,S
S21893,Superbird-B,2001 Jul 26?,Superbird,COM,S
S21894,,2004 Sep,Arabsat,COM,S
S21897,Molniya-1,1998 Jan?,Molniya-1T,COM,S
S21902,Cosmos-2181,1995?,Tsikada,NAV,S
S21906,[Galaxy 5],2005 Jan 19,Galaxy,COM,S
S21908,Soyuz TM-14,1992 Aug 10 0105,7K-STM,SS,S
S21915,[STS 45],1992 Apr  2 1123,OV-104,SS,S
S21920,Cosmos-2182,1992 May 30 1852?,Kobal't,IMG,S
S21922,Gorizont,2006 Nov 21,Gorizont,COM,S
S21928,Cosmos-2183,1993 Feb 16,Neman,IMG,S
S21930,[USA 80],2006?,GPS IIA,NAV,S
S21937,Cosmos-2184,1995 Mar 22?,Parus,NAV,S
S21939,TELECOM 2B,2004 Jun 23,Telecom 2,COM,S
S21940,[I2-F4],2012 Apr  5,Inmarsat 2,COM,S
S21946,Progress M-12,1992 Jun 27,Progress M,SS,S
S21949,[USA 81],2005?,T2-SIG,SIG,S
S21951,Resurs-F,1992 May 29 0402?,Resurs-F2,IMG,S
S21953,Cosmos-2185,1992 Jun 11 2320?,Kometa,IMG,S
S21963,[STS 49],1992 May 16 2058,OV-105,SS,S
S21964,,2005 Aug 27,Palapa B,COM,S
S21968,SROSS-C,1992 Jul 14,SROSS,AST,S
S21973,Cosmos-2186,1992 Jul 24 1945?,Kobal't,IMG,S
S21976,Cosmos-2187,1994?,Strela-1M,COM,S
S21977,Cosmos-2188,1994?,Strela-1M,COM,S
S21978,Cosmos-2189,1994?,Strela-1M,COM,S
S21979,Cosmos-2190,1994?,Strela-1M,COM,S
S21980,Cosmos-2191,1994?,Strela-1M,COM,S
S21981,Cosmos-2192,1994?,Strela-1M,COM,S
S21982,Cosmos-2193,1994?,Strela-1M,COM,S
S21983,Cosmos-2194,1994?,Strela-1M,COM,S
S21987,[EUVE],2001 Feb  2,DeltaEx,AST,S
S21989,[Intelsat K],2002 Aug 28,IntK,COM,S
S21991,Kosmos-2106 SS 18,1990 Nov 28,ESO,CAL,S
S21992,Kosmos-2106 SS 19,1990 Nov 28,ESO,CAL,S
S21993,Kosmos-2106 SS 20,1990 Nov 28,ESO,CAL,S
S21994,Kosmos-2106 SS 21,1990 Nov 28,ESO,CAL,S
S21995,Kosmos-2106 SS 22,1990 Nov 28,ESO,CAL,S
S21996,Kosmos-2106 SS 23,1990 Nov 28,ESO,CAL,S
S21998,Resurs-F,1992 Jul  9 0427?,Resurs-F1 C,IMG,S
S22000,[STS 50],1992 Jul  9 1142,OV-102,SS,S
S22001,Kosmos-2106 SS 24,1990 Nov 28,ESO,CAL,S
S22002,Kosmos-2106 SS 25,1990 Nov 28,ESO,CAL,S
S22003,Kosmos-2106 SS 26,1990 Nov 28,ESO,CAL,S
S22004,Progress M-13,1992 Jul 24,Progress M,SS,S
S22006,Cosmos-2195,1993 Nov  1?,Parus,NAV,S
S22009,[USA 82],2015 Jan?,DSCS 3,COM,S
S22012,[SAMPEX],2012 Nov?,SMEX,SCI,S
S22014,[USA 83],2015 Jan  6,GPS IIA,NAV,S
S22017,Cosmos-2196,1995?,Oko E,EW,S
S22027,Insat-2A,2002 Apr 28,Insat 2,COM/MET,S
S22028,EUTELSAT 2F4,2003 Dec,Eutelsat II,COM,S
S22034,Cosmos-2197,1995?,Strela-3,COM,S
S22035,Cosmos-2198,1995?,Strela-3,COM,S
S22036,Cosmos-2199,1995?,Strela-3,COM,S
S22037,Cosmos-2200,1995?,Strela-3,COM,S
S22038,Cosmos-2201,1995?,Gonets-D,COM,S
