JCAT,Name,TDate,Program,Category,Result
S00255,[OSO I],1963 Aug  3,OSO,AST,S
S00256,,1962 Mar  9,SAMOS E-5,IMG,U
S00259,S.T. LOW,1962 Mar  9?,AFTRACK,SIG,S
S00266,Sputnik,1962 Apr?,DS Early,SCI,S
S00269,"Sputnik ""Cosmos-2""",1962 Apr 17,MS,TECH,S
S00271,,1962 Apr 10,Midas ETS-II,EW,U
S00276,,1962 Apr 22,CORONA M,IMG,S
S00280,[Ranger IV],1962 Apr 26,Ranger II,PLAN,F
S00281,"Sputnik ""Cosmos-3""",1962 Jul?,MS,TECH,S
S00285,[Ariel],1964 Nov  9,UK,SCI,S
S00286,,1962 Apr 28,SAMOS E-6,IMG,U
S00287,"Sputnik ""Cosmos-4""",1962 Apr 29 0910?,Zenit-2 LKI,IMG,S
S00290,,1962 May  5,CORONA M,IMG,S
S00292,,1962 May 19,CORONA ARGON,IMG,S
S00295,[Mercury-Atlas VII],1962 May 24 1741,Mercury MA,SS,S
S00297,Cosmos 5,1962 Oct 25?,MS,TECH,S
S00302,,1962 Jun  2,CORONA M,IMG,S
S00304,,1962 Jun  5,CORONA M,IMG,S
S00305,[Oscar II],1962 Jun 20,OSCAR,COM,S
S00307,,1962 Jun 18,SAMOS E-6,IMG,S
S00308,,1962 Jun 20,SAMOS F-2,SIG,S
S00309,[Tiros V],1963 May  5,Tiros E,MET,S
S00315,,1962 Jul  4,CORONA M,IMG,S
S00316,,1962 Jul  2,CORONA M,IMG,S
S00338,Cosmos 6,1962 Jul  6,DS-P1,CAL,S
S00340,[Telstar I],1963 Feb 21,TSX,COM,S
S00342,,1962 Jul 19,SAMOS E-6,IMG,S
S00343,FTV 2403 RV,1962 Jul 19,SAMOS E-6 RV,IMG,F
S00344,,1962 Jul 26,CORONA M,IMG,S
S00345,,1962 Aug  1,CORONA M,IMG,S
S00346,Cosmos 7,1962 Aug  1 0815?,Zenit-2 LKI,IMG,S
S00360,,1962 Aug  6,CORONA M,IMG,S
S00361,FTV 2404,1962 Aug  6,SAMOS E-6,IMG,S
S00363,Vostok 3,1962 Aug 15 0644,Vostok3A,SS,S
S00365,Vostok 4,1962 Aug 15 0651,Vostok3A,SS,S
S00367,Cosmos 8,1962 Aug 23,DS-K-8,TECH?,U
S00369,,1963 Jun 11,P35,MET,U
S00371,,1962 Aug 25,2MV,PLAN,F
S00374,[Mariner 2],1963 Jan  2,Mariner,PLAN,S
S00377,,1962 Sep  2,CORONA M,IMG,S
S00381,,1962 Sep  1,2MV,PLAN,F
S00385,FTV 1132,1962 Sep  6,CORONA ARGON,IMG,S
S00389,,1962 Sep 12,2MV,PLAN,F
S00396,,1962 Sep 19,CORONA M,IMG,S
S00397,[Tiros VI],1963 Oct 12,Tiros E,MET,S
S00422,Cosmos 9,1962 Oct  1 0923,Zenit-2 LKI,IMG,S
S00424,[Alouette],1971 Dec 16,Alouette,SCI,S
S00426,[TAVE],1962 Sep 29,NASA Small,TECH,S
S00427,,1962 Oct  3,CORONA M,IMG,S
S00432,[Explorer XIV],1963 Aug 11,Explorer EPE,SCI,S
S00433,[Sigma 7],1962 Oct  3 2128,Mercury MA,SS,S
S00436,FTV 1134,1962 Oct 14,CORONA ARGON,IMG,S
S00437,Cosmos 10,1962 Oct 21 0750,Zenit-2 LKI,IMG,S
S00439,[Ranger V],1962 Oct 21?,Ranger II,PLAN,F
S00441,Cosmos 11,1962 Oct 28,DS-A1,SCI,S
S00443,,1962 Oct 24,2MV,PLAN,F
S00444,,1962 Dec 13,CORONA E,SCI,S
S00445,[Explorer XV],1963 Feb  9,Explorer EPE,SCI,S
S00446,[Anna 1B],1965 Jun  1,ANNA,GEOD,S
S00450,Mars 1,1963 Mar 21,2MV,PLAN,F
S00451,,1962 Nov  4,2MV,PLAN,F
S00453,,1962 Nov 10,CORONA M,IMG,S
S00455,,1962 Nov 12,SAMOS E-6,IMG,S
S00481,,1962 Nov 29,CORONA M,IMG,S
S00490,,1962 Dec  6,CORONA M,IMG,S
S00502,[POPPY 1A],1965 Dec,POPPY,SIG,S
S00503,[Relay One],1965 Feb 10,Relay,COM,S
S00504,[Injun 3],1963 Nov 20,Injun,SCI,S
S00505,FTV 1156,1962 Dec 18,CORONA M,IMG,S
S00506,[Explorer XVI],1963 Jul 25,Explorer MME,SCI,S
S00507,,1962 Dec 13,NRL Cal,CAL,S
S00508,,1965 Dec,SURCAL,CAL,S
S00509,[Transit 5A],1962 Dec 19,Transit 5,NAV,F
S00513,[POPPY 1B],1965 Dec,POPPY,SIG,S
S00517,Cosmos 12,1962 Dec 30 0728?,Zenit-2 LKI,IMG,S
