LV_Name,LV_Family,LV_Manufacturer,LV_Max_Stage,Length,Diameter,Launch_Mass,LEO_Capacity,TO_Thrust,Class
Ariane 5ECA,Ariane5             ,EADSL,2, 57.7 , 5.40 ,   780.0 ,   10000 ,   11400 ,O
Ariane 5ECA+,Ariane5             ,EADSL,2, 57.7 , 5.40 ,   780.0 ,   10000 ,   11400 ,O
Ariane 62,Ariane5             ,ARIG,2, 60.0 , 5.40 ,   530.0 ,,    8400 ,O
Ariane 64,Ariane5             ,ARIG,2, 60.0 , 5.40 ,   850.0 ,,   15370 ,O
H3-30S,H2B                 ,JAXA,2, 57.0 , 5.20 ,   270.0 ,    4000 ,    3663 ,O
H3-22S,H2B                 ,JAXA,2, 57.0 , 5.20 ,   419.0 ,       0 ,    2442 ,O
H3-22L,H2B                 ,JAXA,2, 63.0 , 5.20 ,   420.0 ,       0 ,    2442 ,O
H3-24L,H2B                 ,JAXA,2, 63.0 , 5.20 ,   572.0 ,       0 ,    2442 ,O
H3-24W,H2B                 ,JAXA,2, 63.0 , 5.20 ,   572.0 ,       0 ,    2442 ,O
H-IIB,H2B                 ,JAXA,2, 56.6 , 5.20 ,   551.0 ,   19000 ,    9000 ,O
Chang Zheng 5,CZ5                 ,CALT,2, 59.5 , 5.00 ,   643.0 ,   25000 ,    1180 ,O
Chang Zheng 5B,CZ5                 ,CALT,1, 59.5 , 5.00 ,   643.0 ,   25000 ,    1180 ,O
Chang Zheng 5/YZ-2,CZ5                 ,CALT,3, 59.5 , 5.00 ,   643.0 ,   25000 ,    1180 ,O
Chang Zheng 5B/YZ-2,CZ5                 ,CALT,2, 59.5 , 5.00 ,   643.0 ,   25000 ,    1180 ,O
Delta 4H,Delta4              ,BOHB,2, 70.7 , 5.00 ,   733.4 ,,    8674 ,O
Delta 4H/Star 48BV,Delta4              ,BOHB,3, 70.7 , 5.00 ,   733.4 ,,    8674 ,O
Delta 4M,Delta4              ,BOHB,2, 63.0 , 5.00 ,   249.5 ,    8120 ,    2891 ,O
"Delta 4M+(4,2)",Delta4              ,BOHB,2, 66.2 , 5.00 ,   292.7 ,   10430 ,    4200 ,O
"Delta 4M+(5,4)",Delta4              ,BOHB,2, 70.7 , 5.00 ,   404.6 ,   11700 ,    5860 ,O
"Delta 4M+(5,2)",Delta4              ,BOHB,2, 70.7 , 5.00 ,   404.6 ,   11700 ,    5860 ,O
DC-XA,DC-X                ,MDAC,1, 12.6 , 4.95 ,    19.0 ,       0 ,     242 ,T
DC-X,DC-X                ,MDAC,1, 12.6 , 4.95 ,    18.8 ,       0 ,     242 ,T
Zhuque-3,ZQ-3,LANDSP,2, 66.1 , 4.50 ,   560.0 ,   12000 ,    7542 ,O
H-II,H2                  ,MHITO,2, 49.0 , 4.00 ,   260.0 ,   10060 ,    3960 ,O
H-IIA 202,H2                  ,NASDA,2, 53.0 , 4.00 ,   285.0 ,   10000 ,    5600 ,O
H-IIA 204,H2                  ,NASDA,2, 53.0 , 4.00 ,   285.0 ,   10000 ,    5600 ,O
H-IIA 2022,H2                  ,NASDA,2, 57.0 , 4.00 ,   348.0 ,,    8580 ,O
H-IIA 2024,H2                  ,NASDA,2, 57.0 , 4.00 ,   348.0 ,,    8580 ,O
GSLV Mk III,GSLV3               ,ISRO,2, 42.4 , 4.00 ,   629.0 ,,,O
LVM3,GSLV3               ,ISRO,2, 42.4 , 4.00 ,   629.0 ,,,O
Little Joe II,LJ2                 ,GDA,1, 26.2 , 3.96 ,    26.2 ,       0 ,    1482 ,T
